FBG1,FBG2,FBG3,Strain,Temperature,Combined_Target
0.374540119,0.950714306,0.731993942,7.367186504,5.814632074,1.2999306296449513
0.598658484,0.15601864,0.15599452,2.507046086,1.877921621,-1.3803084366822502
0.058083612,0.866176146,0.601115012,5.788627653,4.699857499,0.46301053618115995
0.708072578,0.020584494,0.969909852,6.190852328,5.000925161,0.6797529087989311
0.832442641,0.212339111,0.181824967,3.332221848,2.447430466,-0.945530522497577
0.18340451,0.304242243,0.524756432,3.92944296,3.118174958,-0.5778187800001363
0.431945019,0.29122914,0.611852895,4.759914218,3.83125966,-0.11154748649010438
0.139493861,0.292144649,0.366361843,3.00156973,2.192176376,-1.1252970379316583
0.456069984,0.785175961,0.199673782,4.08841324,3.49155682,-0.43997065291548326
0.514234438,0.592414569,0.046450413,3.078829928,2.340217608,-1.0651588188147891
0.607544852,0.170524124,0.065051593,1.948982889,1.482500719,-1.6764526659952972
0.948885537,0.965632033,0.808397348,8.701386886,6.902263346,2.037128482566435
0.304613769,0.097672114,0.684233027,4.171173094,3.258643795,-0.4558618142760592
0.440152494,0.122038235,0.49517691,3.83357308,2.810487218,-0.677877198243952
0.034388521,0.909320402,0.258779982,4.027711817,3.289101618,-0.504890998593315
0.662522284,0.311711076,0.520068021,5.013890674,4.048659115,0.030909573313566897
0.546710279,0.184854456,0.969584628,6.442326918,5.107952101,0.7986042970730562
0.775132823,0.939498942,0.89482735,8.672163428,7.108531001,2.068181829976467
0.597899979,0.921874235,0.088492502,4.292232729,3.595553703,-0.3401028992792176
0.195982862,0.045227289,0.325330331,2.277880407,1.721470358,-1.5007027889929216
0.38867729,0.271349032,0.828737509,5.719499403,4.568594205,0.409447453529934
0.356753327,0.28093451,0.542696083,4.214961869,3.288721221,-0.43281945696355784
0.140924225,0.802196981,0.074550644,3.077194433,2.660174119,-1.0001535313666254
0.986886937,0.772244769,0.198715682,5.334264862,4.386524719,0.22366270383805648
0.005522117,0.815461428,0.706857344,6.10345512,4.706100253,0.5855977721052886
0.729007168,0.771270347,0.074044652,4.286898558,3.215462367,-0.42012965808816216
0.358465729,0.11586906,0.863103426,5.3440789,4.251803911,0.19980771312410156
0.623298127,0.330898025,0.06355835,2.424477311,1.919971874,-1.4034969910721153
0.310982322,0.325183322,0.729606178,5.204198985,4.248453056,0.1452230001311249
0.637557471,0.887212743,0.472214925,6.323855847,4.990400544,0.7288416718969684
0.119594246,0.713244787,0.760785049,6.086472204,5.222149138,0.6849156580141398
0.561277198,0.77096718,0.493795596,5.808718825,4.863570991,0.5043358660682262
0.522732829,0.427541018,0.025419127,2.489563136,1.9758857,-1.3669485925799778
0.107891427,0.031429186,0.636410411,3.487257232,2.888750376,-0.7952618328637213
0.314355981,0.508570691,0.907566474,6.695536105,5.483816638,0.9732730400986809
0.249292229,0.410382923,0.755551139,5.431639387,4.365705457,0.25691138004343284
0.228798165,0.07697991,0.289751453,2.114253254,1.61303111,-1.585995279190116
0.161221287,0.929697652,0.80812038,7.059714115,5.806371886,1.1797635351831783
0.633403757,0.87146059,0.803672077,7.988569509,6.42960903,1.6655121446958374
0.186570059,0.892558998,0.539342242,5.851053256,4.682527592,0.48350879679589714
0.807440155,0.8960913,0.318003475,5.708552799,4.565702734,0.4046364498480354
0.110051925,0.227935163,0.427107789,2.946497194,2.363064503,-1.11146134474641
0.818014766,0.860730583,0.006952131,4.103329009,3.399259843,-0.4531571191400634
0.510747303,0.417411003,0.22210781,3.319264274,2.690513143,-0.9006575591881785
0.119865367,0.337615171,0.942909704,5.958780971,4.992729013,0.5886518270459604
0.323202932,0.518790622,0.703018959,5.572908002,4.455257994,0.3297144758130851
0.363629602,0.971782083,0.962447295,8.362655946,6.875247714,1.9010696453355092
0.251782296,0.497248506,0.30087831,3.399305921,2.973219259,-0.8118226370673532
0.284840494,0.036886947,0.609564334,3.748890234,3.18488042,-0.6337039281923434
0.502679023,0.051478751,0.278646464,2.559961055,1.956861528,-1.3437260672097682
0.908265886,0.239561891,0.144894872,3.187518049,2.590025989,-0.9720346828357778
0.48945276,0.985650454,0.242055272,5.163815328,4.223502397,0.12454437184176734
0.672135547,0.761619615,0.237637544,4.762649652,3.882350709,-0.10001274134000034
0.728216349,0.367783133,0.632305831,5.694145737,4.531121157,0.39199122521776064
0.633529711,0.535774684,0.09028977,3.493177533,2.694487895,-0.8328314260640453
0.835302496,0.320780065,0.18651851,3.699583843,2.547753339,-0.783401661960808
0.040775142,0.590892943,0.677564362,5.112092798,4.316859467,0.12376624032315439
0.016587829,0.512093058,0.226495775,2.784906951,2.22371528,-1.2023098223883086
0.64517279,0.174366429,0.690937738,5.349273214,4.145178721,0.17993618869807865
0.386735346,0.936729989,0.137520944,4.156439051,3.676697987,-0.3757799158039995
0.341066351,0.113473521,0.924693618,5.727899122,4.426564401,0.38354815168390904
0.877339353,0.257941628,0.659984046,5.982217012,4.560491685,0.5090133973629105
0.8172222,0.555200812,0.529650578,5.836045246,4.931592973,0.5288189878951508
0.241852291,0.093102768,0.897215758,5.157341393,4.101192257,0.09695934807075879
0.900418057,0.633101457,0.339029791,5.497055588,4.234488365,0.25519928317731294
0.349209575,0.725955679,0.89711026,7.388987017,5.912442057,1.3283952279992262
0.887086424,0.779875546,0.642031646,7.379105344,5.932518534,1.3287061693123352
0.084139965,0.161628714,0.898554189,5.179995937,4.145278738,0.11473224500175827
0.60642906,0.009197052,0.101471543,1.786876581,1.209259855,-1.7949663463451506
0.663501769,0.005061584,0.160808051,2.013581334,1.597921963,-1.627884786276242
0.548733789,0.691895198,0.65196126,6.53769124,5.099948273,0.8337073606412386
0.224269309,0.712179221,0.237249087,3.88828072,3.058126263,-0.6059973706082038
0.325399698,0.746491405,0.649632899,6.115499033,4.995444022,0.6495940330602676
0.84922341,0.657612892,0.568308603,6.50848082,5.232922335,0.8497303794556876
0.093674768,0.367715803,0.265202368,2.463398033,1.943009955,-1.3837743920470948
0.243989643,0.973010555,0.393097725,5.42392505,4.477295849,0.2768304660086016
0.892046555,0.631138626,0.794811304,7.70877125,6.120418497,1.4942757480810025
0.502637093,0.576903885,0.492517694,5.192355207,4.304739331,0.15220595089979977
0.195242988,0.722452115,0.280772362,4.07413947,3.266504052,-0.4916375308681192
0.024315966,0.645472296,0.177110679,2.837194495,2.468729703,-1.1319008968213633
0.940458584,0.953928577,0.91486439,9.373485443,7.501621411,2.419047237927314
0.3701587,0.015456617,0.928318563,5.326313629,4.441776418,0.23193326491467903
0.428184148,0.966654819,0.963619977,8.572077424,6.965618242,2.000300616347486
0.853009455,0.294448892,0.385097729,4.497418804,3.546235803,-0.27115937957073527
0.851136672,0.316922005,0.169492747,3.523033884,2.974224479,-0.7639426354862227
0.556801262,0.936154774,0.696029797,7.365263138,6.048611728,1.3471878165645157
0.57006117,0.097176494,0.615007227,4.493540695,3.615436338,-0.2584579514040396
0.99005385,0.140084015,0.518329652,5.074612725,3.780978981,-0.0006050838086889554
0.877373072,0.740768618,0.697015741,7.418454278,5.827213355,1.322265593960335
0.702484084,0.359491151,0.293591844,3.790743133,3.156092929,-0.6234829583990625
0.809361155,0.810113395,0.867072319,8.559382478,6.722166614,1.945467759051142
0.913240553,0.511342399,0.501516295,6.006235183,4.592869748,0.5249098656624361
0.798295179,0.649963931,0.701966877,6.927090267,5.644318374,1.0954186108480959
0.795792669,0.890005342,0.337995157,6.020547929,4.929545679,0.5994899919052662
0.375582953,0.09398194,0.578280141,3.874214953,3.18099009,-0.5862129451107828
0.035942274,0.465598018,0.542644635,4.208250497,3.274386144,-0.43834610400505003
0.286541252,0.590833261,0.03050025,2.527505949,2.017745147,-1.3437418024928687
0.037348189,0.822600561,0.360190641,4.320010487,3.472789602,-0.35458348095217046
0.127060513,0.52224326,0.769993553,5.592442004,4.53740314,0.35409229741186854
0.215821027,0.622890476,0.085347465,2.657996702,2.180986024,-1.2599752094231282
0.051681721,0.531354632,0.540635122,4.308983754,3.520685089,-0.34900698877848035
0.637429901,0.726091334,0.975852079,8.249211981,6.549267967,1.7904873336525133
0.516300348,0.322956473,0.795186195,5.97068326,4.749821016,0.5434080840457289
0.270832251,0.438971421,0.078456381,2.179284672,1.76144169,-1.5304931805918702
0.025350743,0.962648415,0.835980121,7.18675254,5.495622765,1.1649662156405611
0.695974206,0.408952944,0.17329432,3.634003461,2.964818153,-0.7231143962071038
0.156437043,0.250242898,0.549226665,3.751730779,3.166046434,-0.6364730132588613
0.714595923,0.660197377,0.279933897,4.83339391,3.804492841,-0.0887258354446172
0.954865281,0.737896917,0.554354053,6.945160085,5.496338328,1.0720246832835651
0.611720746,0.419600062,0.24773099,3.768096854,2.840339799,-0.6969820135663497
0.355972679,0.75784611,0.014393489,3.065046659,2.655720536,-1.0057478091405558
0.116072641,0.046002642,0.040728802,0.648065461,0.641759645,-2.3501794840898254
0.855460584,0.703657859,0.474173829,6.240988787,4.954700214,0.6895885314886692
0.097834161,0.491615875,0.473471771,3.914108558,3.372031076,-0.5316515858989147
0.17320187,0.433851649,0.398504734,3.727397966,2.955979543,-0.6889415716369066
0.615850098,0.635093651,0.04530401,3.452230281,2.559052769,-0.8763918536984304
0.374612615,0.625859916,0.503136259,5.066157659,4.097931409,0.06115629165532638
0.856489841,0.658693632,0.162934427,4.507526496,3.596399346,-0.25697428689727086
0.070568747,0.642419278,0.026511311,2.269284781,1.772491787,-1.49354831195444
0.585775581,0.940230241,0.575474178,6.848681394,5.509270359,1.0375032058091151
0.388169926,0.643288218,0.45825289,5.104766765,4.014347042,0.058886431263030385
0.545616789,0.941464809,0.386102638,6.082528443,4.708409907,0.5780082847459715
0.961190564,0.905350642,0.195791135,5.538790124,4.493552839,0.32442422385568825
0.069361301,0.100778001,0.018221826,0.394061274,0.322813751,-2.5134783333095
0.094442961,0.683006773,0.071188648,2.624231344,2.062234354,-1.2973459491233665
0.31897563,0.844875311,0.023271936,3.361093123,2.555281039,-0.9122817655196984
0.814468483,0.281854775,0.118164828,3.04223879,2.496780526,-1.0471406874099523
0.696737165,0.628942847,0.877472014,7.812989005,5.916786225,1.492659175712719
0.735071044,0.80348093,0.282034573,5.156897162,4.354806216,0.1488142183131146
0.177439544,0.750614752,0.806834739,6.710188901,5.508670092,0.9840173343431372
0.990505142,0.412617677,0.372018086,5.018367662,3.97515619,0.01755631335471991
0.776412961,0.34080354,0.930757326,7.400960961,5.479343885,1.2441637294956913
0.858412752,0.428994027,0.750871068,6.95741446,5.327457411,1.0421024218795405
0.754542874,0.103123869,0.902552907,6.254556229,4.993417194,0.7027585721685098
0.505252372,0.826457466,0.320049601,5.035169435,4.003160806,0.029775058162557592
0.895523228,0.389201679,0.010837651,3.098798539,2.308117806,-1.0640495973796882
0.905381976,0.091286677,0.319313638,3.642479106,3.016563727,-0.7092336140334687
0.950061967,0.950607147,0.573437888,7.614593694,6.161855087,1.4664883122449819
0.631837212,0.448445522,0.293210772,4.077603691,3.149256299,-0.514354778563817
0.328664545,0.672518456,0.752374529,6.244789791,5.024031159,0.7052755614134544
0.791579044,0.789618143,0.091206103,4.406659256,3.493536603,-0.3169407114847985
0.494420305,0.05755876,0.549528882,3.840188524,3.062297208,-0.6236722187442633
0.441530501,0.887704183,0.350915013,5.251436332,4.334836178,0.18114460867936172
0.117067016,0.142991682,0.761510632,4.615025438,3.525590585,-0.23007933838451983
0.618218063,0.101122676,0.084106806,1.834687496,1.567710967,-1.7030120621145386
0.700969131,0.072763006,0.821860059,5.810848097,4.714316854,0.4745384993709386
0.706242227,0.081348781,0.084837714,2.052823074,1.683636251,-1.5951811798243831
0.986639579,0.374270796,0.370642147,4.921326263,3.893396095,-0.03660700141263056
0.812799567,0.947248577,0.986001064,9.476387375,7.513010003,2.4610327642017498
0.753378185,0.376259586,0.083500717,3.08704384,2.369051795,-1.0560788974571467
0.777146916,0.55840425,0.424222009,5.407677927,4.376683126,0.24993070157780894
0.906354385,0.111197482,0.492625104,4.706245205,3.545294356,-0.19088931821840366
0.011353645,0.468660642,0.056303276,1.677074756,1.418417446,-1.7943679229405056
0.118817916,0.117526247,0.649210302,3.77504241,3.07400349,-0.6463723463183431
0.746044879,0.583368765,0.962172548,7.944543744,6.376001006,1.637551436188084
0.37487058,0.285712086,0.868599128,5.867332006,4.613736043,0.4756693755706044
0.223595839,0.963222539,0.012154475,3.692541111,2.824365456,-0.7293714570360261
0.969878827,0.043159912,0.891143114,6.649420916,5.121190078,0.8811155924228449
0.527701109,0.992964796,0.073796565,4.268171994,3.61917396,-0.34452834548247013
0.553854284,0.969302536,0.523097844,6.498859601,5.293069112,0.8583616458541221
0.629398638,0.695748689,0.454541065,5.666935273,4.623716069,0.40050152355427787
0.62755808,0.584314312,0.90115801,7.568575628,5.919077564,1.398953962647489
0.04544638,0.28096319,0.950411484,5.740728133,4.743427509,0.4534922012214029
0.890263784,0.455656753,0.620132598,6.222665236,4.780304298,0.6467529075293762
0.277381183,0.18812116,0.463698405,3.425072444,2.7846453,-0.8405783190984912
0.353352228,0.583656112,0.077734637,2.879133929,2.347650238,-1.1405792395474983
0.974394808,0.986210744,0.698161714,8.406819719,6.640210222,1.8698711643807806
0.536096366,0.309527616,0.81379502,5.847820643,4.875583063,0.5218663823055057
0.684731173,0.162616939,0.910927184,6.388969123,5.205299712,0.7980146937296139
0.822537243,0.949799913,0.725719508,8.037931124,6.289501797,1.6557903212016467
0.613415196,0.418243036,0.932728483,7.162723059,5.746918799,1.2072579245606647
0.86606389,0.04521867,0.026366974,2.298144562,1.268283325,-1.5858609776652368
0.376463367,0.810553331,0.987276129,8.157715539,6.443616414,1.7335594913116608
0.150416891,0.594130715,0.380890857,3.956327243,3.397432188,-0.5101734950979537
0.969914398,0.842118923,0.838328705,8.750009239,6.85530552,2.046230361140881
0.46869316,0.414819502,0.273407072,3.597148975,2.716328787,-0.7882896341969273
0.056375497,0.864722376,0.812901009,6.813432617,5.478179449,1.0175435021147907
0.999717673,0.996636837,0.555431706,7.827189445,6.419686059,1.6012949843170814
0.768987415,0.94476573,0.849647391,8.82616333,6.730816785,2.0500359418782796
0.247348102,0.450544135,0.129159415,2.379036842,1.90888916,-1.4232792143772532
0.954051027,0.606174634,0.228642806,4.917203193,4.010827517,-0.014105938114113752
0.671700684,0.61812824,0.358162718,4.895961567,4.171292734,0.01062704746666418
0.113557592,0.671573196,0.520307701,4.89892454,3.920157058,-0.039748931072602155
0.772318392,0.520163501,0.8521815,7.274166137,5.743707071,1.2495393609353111
0.551906839,0.560937972,0.876653603,7.128158924,5.946403948,1.2348620938961887
0.403482866,0.134015228,0.028782676,1.323415808,1.214837315,-1.972398903069027
0.755137256,0.620309551,0.704079768,6.989183678,5.567693533,1.10362518850955
0.212964162,0.136371476,0.014544666,0.999611523,0.637313359,-2.2156368914422337
0.350587559,0.589917687,0.392244045,4.307576666,3.564748802,-0.3405099830550255
0.437474922,0.904158694,0.348255467,5.334196674,4.293594979,0.2045729442988647
0.513989489,0.783653013,0.396542782,5.290693943,4.349373025,0.19925308279014042
0.6220867,0.862363709,0.949520624,8.453017154,7.032221961,1.968088339755135
0.147073481,0.926587625,0.492116293,5.512789598,4.593486161,0.33490611694898226
0.258244388,0.459135756,0.980032575,6.763210643,5.347598666,0.9714052321613703
0.492618094,0.32875161,0.633400854,5.381166939,4.232059229,0.21004775820964344
0.240145619,0.075863328,0.128879722,1.395575814,1.09670885,-1.9688275512205935
0.128045839,0.151902694,0.138827173,1.268173872,1.195840762,-1.9975811777748391
0.640874745,0.181880084,0.345667283,3.499248759,2.945335547,-0.7790335527174297
0.89678841,0.47396164,0.667557739,6.655388763,5.089159645,0.8768443904388401
0.172319871,0.192289019,0.040868616,1.334694157,0.899094261,-2.032824346058176
0.168935063,0.278590339,0.177010484,1.900095233,1.604774924,-1.6702064648615813
0.088702534,0.120635871,0.460778768,2.655214082,2.120972608,-1.273358458630974
0.206333718,0.364269861,0.503417271,4.209659892,3.268515311,-0.43900738311533005
0.690394829,0.03931214,0.799410399,5.534739489,4.582669843,0.3411448143231941
0.627900389,0.081759032,0.873578624,5.782141722,4.456554886,0.4106006517605807
0.920872401,0.06107796,0.276877648,3.46282983,2.638286032,-0.8560539183958658
0.80620128,0.74825969,0.184521019,4.516211954,3.882089517,-0.19502157120904187
0.209349323,0.370472103,0.484522985,3.953067432,3.190604003,-0.5538580020792472
0.618254772,0.36891364,0.462534716,4.68870616,3.688492316,-0.16827186867598434
0.747470938,0.036683203,0.252436944,2.959603221,2.092740555,-1.1618653463073916
0.713349586,0.895206838,0.511677442,6.5693173,5.378029916,0.9029385477914456
0.532113485,0.107172011,0.447412367,3.631373555,2.780073326,-0.7620260423028145
0.532617266,0.242470504,0.269243231,3.046319736,2.263082912,-1.0935086768856084
0.377284163,0.020071198,0.322079166,2.450716123,2.023880123,-1.3720712752581394
0.211448007,0.327497352,0.119762132,1.914664097,1.7108025,-1.6428425568229403
0.890527281,0.593592454,0.679102319,6.916533434,5.541347429,1.0702276173126206
0.789171239,0.498442199,0.086920288,3.408688975,2.800450976,-0.8436487003280739
0.537106542,0.586841118,0.745439474,6.627047433,5.361952306,0.9218844849617625
0.431659546,0.127580303,0.283775906,2.750784642,2.123977665,-1.2359175808724077
0.363082296,0.645917241,0.570778305,5.494345783,4.532931522,0.31537740531522795
0.356096726,0.986515249,0.605774819,6.704437094,5.393784268,0.9582335692301032
0.237226792,0.101782473,0.152859139,1.399237556,1.3529313,-1.9148555004098955
0.245957728,0.160681373,0.186567024,1.876827032,1.548986695,-1.6906162921738752
0.285095169,0.173373595,0.896765425,5.569117785,4.467543634,0.330774322275011
0.080233746,0.52451139,0.410396827,4.048065104,2.946210292,-0.5673889258942232
0.982378617,0.112038902,0.397855599,4.178955233,3.373783162,-0.42924372765898133
0.969470433,0.865507126,0.817072071,8.767240323,6.803066257,2.042153399451763
0.257902827,0.170887587,0.66864322,4.471370393,3.424817816,-0.306103656579347
0.929375989,0.556762893,0.571612689,6.415167745,4.990884411,0.7641244450915555
0.279979094,0.769492933,0.187043749,3.979517778,2.985252475,-0.5857919279978847
0.323679236,0.425436439,0.507610379,4.498930229,3.792028606,-0.2201553945815055
0.242409732,0.114836825,0.610620042,3.921346071,3.226320736,-0.5587537193068854
0.288630553,0.581238221,0.154362715,3.087477282,2.695528995,-0.9889387793846349
0.481140102,0.532589433,0.051823537,2.941523074,2.138188379,-1.1595087252119884
0.336604278,0.134414677,0.06337497,1.502974363,1.101568367,-1.9264487931972447
0.989960232,0.322353845,0.809874446,6.9337865,5.400971982,1.048078983450977
0.254640655,0.681502722,0.76022786,6.223004056,5.05705974,0.7036567099392597
0.595638741,0.471576189,0.411840914,4.644912554,3.627949541,-0.1975657094746806
0.348868267,0.929529144,0.830619408,7.559417148,6.293561292,1.472246200705103
0.965026911,0.124297223,0.730867475,5.95093041,4.642130358,0.5137055647349382
0.938340457,0.181233066,0.066496267,2.876605262,2.233416353,-1.1649873542240137
0.741120649,0.574473113,0.841828777,7.369074356,5.975590953,1.3336769354723363
0.139772377,0.795267312,0.20162732,3.669200951,3.2347,-0.6541891919185927
0.163655943,0.164265798,0.81457472,4.898785154,3.766502868,-0.0713230586588958
0.665197221,0.523065425,0.358830484,4.778586225,3.866704653,-0.09708180998542436
0.877200541,0.392445107,0.816599439,6.790044668,5.677955425,1.0495136429635143
0.439134909,0.376944429,0.462679786,4.261832004,3.354444695,-0.40127743268217486
0.301377874,0.74760938,0.50272039,5.380314209,4.432685156,0.25087533321192634
0.232212695,0.899574573,0.383891221,5.202613113,4.166434858,0.12778683920267225
0.543552861,0.906472111,0.624237996,6.87852179,5.555713927,1.0585284230440628
0.116898041,0.939832124,0.627708053,6.004177447,4.953366034,0.5980687355344962
0.334905615,0.139272073,0.794025189,5.119724538,3.954728416,0.0524197440548687
0.620072756,0.533461092,0.893892583,7.246455464,6.044313406,1.3005281156649056
0.788597211,0.15167488,0.311722068,3.471862735,2.809039569,-0.8175452789476408
0.24848914,0.743946293,0.033532435,2.834044792,2.44494218,-1.137994254739752
0.569889685,0.762458686,0.876765637,7.792531075,6.188953851,1.5406086150952558
0.342081749,0.821257305,0.110631737,3.64061963,2.930807538,-0.7275420043056929
0.846452292,0.127488662,0.397287291,3.841250418,3.285747737,-0.5774247081772124
0.797295366,0.149917427,0.229251395,3.280306609,2.352784577,-0.9849495893330762
0.722252568,0.720036537,0.641147633,6.937840415,5.406539349,1.050783085451569
0.693948444,0.542724443,0.251799059,4.340217713,3.408332752,-0.360020001160309
0.345695994,0.181597717,0.908450561,5.664669377,4.617477788,0.3983487351956111
0.583391795,0.400851417,0.462005804,4.659217705,3.70733012,-0.17576974334252227
0.94728334,0.153351403,0.586229832,5.285117917,4.188804823,0.1641658245237642
0.505888679,0.611454235,0.018110184,2.996570422,2.429194918,-1.078601652936611
0.872123909,0.932118282,0.565133184,7.433102632,5.972478059,1.357709183776083
0.696650824,0.922499381,0.707238634,7.623575583,6.081598845,1.4534854752424557
0.152539043,0.57628836,0.606715046,5.075717954,4.067974141,0.05869458713472554
0.424130671,0.736444236,0.934367015,7.775157164,6.334250941,1.563720305443392
0.925568513,0.450839371,0.113238046,3.915427601,3.0578681,-0.5955903276733012
0.984841199,0.838898086,0.124662681,5.180140717,3.935871794,0.0718305624086744
0.920841883,0.869896362,0.518838057,7.124468806,5.666503948,1.1760219276962418
0.591275436,0.399002704,0.054761639,2.66174984,1.905643944,-1.3150123986113935
0.335197242,0.802853449,0.004632023,3.243160859,2.533151066,-0.9622621226653383
0.333499172,0.398168694,0.537395603,4.589458718,3.835029605,-0.17645256866150236
0.919855616,0.346345994,0.346953202,4.527406434,3.538671946,-0.26115644428061546
0.737501248,0.452217941,0.224604823,4.095017431,3.051783712,-0.5276404660373748
0.452439516,0.14085702,0.176386987,2.279175353,1.812752749,-1.4814782806669469
0.498367773,0.41892545,0.914845901,6.783436997,5.299968736,0.9694279346599066
0.362393899,0.58058835,0.632264288,5.579924992,4.460843373,0.3335639792865846
0.013094457,0.663537372,0.178035967,2.936638418,2.450273096,-1.0973701860466782
0.961070317,0.148662728,0.414624124,4.487567916,3.408330206,-0.3032448135127712
0.085349668,0.996874252,0.50219501,5.69202637,4.605393174,0.40641067390754604
0.595385017,0.067076477,0.74996047,5.172932686,4.135029172,0.10990811138724028
0.209905593,0.898054289,0.20513964,4.309667994,3.422707284,-0.3688423827319669
0.190687721,0.036549668,0.472066945,2.958513486,2.292355371,-1.1213365100232178
0.564841133,0.065708639,0.775527617,5.223509827,4.079731537,0.11805237445682615
0.453288835,0.524390269,0.440762747,4.77769327,3.790966025,-0.11296279929129016
0.400763061,0.559640331,0.155240246,3.153395955,2.608833135,-0.9813242404779445
0.18192813,0.861785621,0.946115462,7.71958314,6.257598658,1.5265826520320163
0.373309316,0.270744673,0.643999543,4.959781003,3.763130628,-0.04851244088551432
0.408734171,0.025386356,0.156152597,1.652585806,1.282920638,-1.8315994328986036
0.715972229,0.658923942,0.027095993,3.459432853,2.730656389,-0.8384140774623329
0.221972162,0.231074797,0.671892744,4.431423543,3.594715448,-0.2866430533166842
0.019710538,0.104108582,0.799916085,4.242363945,3.408401517,-0.39771006509728435
0.178544662,0.652746108,0.238182781,3.427765362,2.741008742,-0.8484922538705298
0.099441393,0.243172191,0.722266932,4.502683208,3.672026409,-0.24332642359158
0.855696468,0.830219865,0.39718353,6.047413476,4.96910246,0.6179562194465013
0.668085137,0.204984295,0.29314773,3.418423644,2.765466738,-0.8470744426460644
0.896335819,0.013001924,0.085508531,2.349447779,1.675930103,-1.4824691348336436
