FBG1,FBG2,FBG3,Strain,Temperature,Delta_FBG1,Delta_FBG2,Delta_FBG3
0.374540119,0.950714306,0.731993942,7.367186504,5.814632074,-0.13743986874099995,0.45648943554999993,0.2385192156
0.598658484,0.15601864,0.15599452,2.507046086,1.877921621,0.08667849625900004,-0.33820623045000003,-0.3374802064
0.058083612,0.866176146,0.601115012,5.788627653,4.699857499,-0.45389637574099995,0.37195127555,0.10764028559999994
0.708072578,0.020584494,0.969909852,6.190852328,5.000925161,0.19609259025900005,-0.47364037645,0.4764351256
0.832442641,0.212339111,0.181824967,3.332221848,2.447430466,0.32046265325900003,-0.28188575945000005,-0.3116497594
0.18340451,0.304242243,0.524756432,3.92944296,3.118174958,-0.32857547774099993,-0.18998262745,0.03128170559999999
0.431945019,0.29122914,0.611852895,4.759914218,3.83125966,-0.08003496874099997,-0.20299573045000002,0.11837816859999994
0.139493861,0.292144649,0.366361843,3.00156973,2.192176376,-0.37248612674099996,-0.20208022145000004,-0.1271128834
0.456069984,0.785175961,0.199673782,4.08841324,3.49155682,-0.05591000374099997,0.29095109054999996,-0.29380094440000004
0.514234438,0.592414569,0.046450413,3.078829928,2.340217608,0.0022544502590000626,0.09818969854999998,-0.4470243134
0.607544852,0.170524124,0.065051593,1.948982889,1.482500719,0.09556486425900002,-0.32370074645,-0.4284231334
0.948885537,0.965632033,0.808397348,8.701386886,6.902263346,0.43690554925900005,0.47140716255,0.31492262159999995
0.304613769,0.097672114,0.684233027,4.171173094,3.258643795,-0.20736621874099997,-0.39655275645,0.19075830059999999
0.440152494,0.122038235,0.49517691,3.83357308,2.810487218,-0.07182749374099995,-0.37218663545,0.001702183600000018
0.034388521,0.909320402,0.258779982,4.027711817,3.289101618,-0.47759146674099995,0.41509553154999995,-0.2346947444
0.662522284,0.311711076,0.520068021,5.013890674,4.048659115,0.15054229625900006,-0.18251379445000004,0.02659329460000004
0.546710279,0.184854456,0.969584628,6.442326918,5.107952101,0.03473029125900007,-0.30937041445,0.4761099016
0.775132823,0.939498942,0.89482735,8.672163428,7.108531001,0.263152835259,0.44527407154999993,0.4013526236
0.597899979,0.921874235,0.088492502,4.292232729,3.595553703,0.08591999125900007,0.42764936454999997,-0.4049822244
0.195982862,0.045227289,0.325330331,2.277880407,1.721470358,-0.3159971257409999,-0.44899758145,-0.16814439540000004
0.38867729,0.271349032,0.828737509,5.719499403,4.568594205,-0.12330269774099994,-0.22287583845000003,0.3352627826
0.356753327,0.28093451,0.542696083,4.214961869,3.288721221,-0.15522666074099994,-0.21329036045,0.049221356600000044
0.140924225,0.802196981,0.074550644,3.077194433,2.660174119,-0.37105576274099994,0.30797211055,-0.4189240824
0.986886937,0.772244769,0.198715682,5.334264862,4.386524719,0.474906949259,0.27801989855000003,-0.2947590444
0.005522117,0.815461428,0.706857344,6.10345512,4.706100253,-0.5064578707409999,0.32123655754999997,0.2133826176
0.729007168,0.771270347,0.074044652,4.286898558,3.215462367,0.21702718025900003,0.27704547654999995,-0.4194300744
0.358465729,0.11586906,0.863103426,5.3440789,4.251803911,-0.15351425874099994,-0.37835581045,0.3696286996
0.623298127,0.330898025,0.06355835,2.424477311,1.919971874,0.11131813925900003,-0.16332684545000004,-0.4299163764
0.310982322,0.325183322,0.729606178,5.204198985,4.248453056,-0.20099766574099998,-0.16904154845000002,0.23613145160000004
0.637557471,0.887212743,0.472214925,6.323855847,4.990400544,0.1255774832590001,0.39298787254999995,-0.0212598014
0.119594246,0.713244787,0.760785049,6.086472204,5.222149138,-0.39238574174099994,0.21901991655000003,0.2673103226
0.561277198,0.77096718,0.493795596,5.808718825,4.863570991,0.049297210259000024,0.27674230954999995,0.00032086959999999554
0.522732829,0.427541018,0.025419127,2.489563136,1.9758857,0.010752841259000001,-0.06668385245000003,-0.4680555994
0.107891427,0.031429186,0.636410411,3.487257232,2.888750376,-0.40408856074099997,-0.46279568445,0.14293568459999995
0.314355981,0.508570691,0.907566474,6.695536105,5.483816638,-0.19762400674099995,0.014345820549999944,0.4140917476
0.249292229,0.410382923,0.755551139,5.431639387,4.365705457,-0.2626877587409999,-0.08384194745000001,0.26207641260000003
0.228798165,0.07697991,0.289751453,2.114253254,1.61303111,-0.28318182274099996,-0.41724496045000004,-0.20372327340000002
0.161221287,0.929697652,0.80812038,7.059714115,5.806371886,-0.35075870074099996,0.43547278154999997,0.31464565359999996
0.633403757,0.87146059,0.803672077,7.988569509,6.42960903,0.121423769259,0.37723571954999996,0.3101973506
0.186570059,0.892558998,0.539342242,5.851053256,4.682527592,-0.32540992874099994,0.39833412755000003,0.04586751560000002
0.807440155,0.8960913,0.318003475,5.708552799,4.565702734,0.29546016725900004,0.40186642955,-0.17547125140000003
0.110051925,0.227935163,0.427107789,2.946497194,2.363064503,-0.40192806274099996,-0.26628970745,-0.06636693739999999
0.818014766,0.860730583,0.006952131,4.103329009,3.399259843,0.30603477825900005,0.36650571255000003,-0.4865225954
0.510747303,0.417411003,0.22210781,3.319264274,2.690513143,-0.001232684740999912,-0.07681386745000002,-0.2713669164
0.119865367,0.337615171,0.942909704,5.958780971,4.992729013,-0.39211462074099995,-0.15660969945000003,0.44943497759999995
0.323202932,0.518790622,0.703018959,5.572908002,4.455257994,-0.18877705574099996,0.024565751550000015,0.2095442326
0.363629602,0.971782083,0.962447295,8.362655946,6.875247714,-0.14835038574099996,0.47755721255,0.46897256860000003
0.251782296,0.497248506,0.30087831,3.399305921,2.973219259,-0.26019769174099994,0.003023635549999959,-0.19259641640000003
0.284840494,0.036886947,0.609564334,3.748890234,3.18488042,-0.22713949374099995,-0.45733792345,0.11608960759999998
0.502679023,0.051478751,0.278646464,2.559961055,1.956861528,-0.00930096474099995,-0.44274611945000003,-0.21482826240000003
0.908265886,0.239561891,0.144894872,3.187518049,2.590025989,0.39628589825900007,-0.25466297945000005,-0.3485798544
0.48945276,0.985650454,0.242055272,5.163815328,4.223502397,-0.022527227740999967,0.49142558354999993,-0.2514194544
0.672135547,0.761619615,0.237637544,4.762649652,3.882350709,0.16015555925900005,0.26739474454999995,-0.2558371824
0.728216349,0.367783133,0.632305831,5.694145737,4.531121157,0.21623636125900003,-0.12644173745000004,0.13883110460000003
0.633529711,0.535774684,0.09028977,3.493177533,2.694487895,0.12154972325900004,0.041549813549999925,-0.4031849564
0.835302496,0.320780065,0.18651851,3.699583843,2.547753339,0.323322508259,-0.17344480545000002,-0.30695621640000004
0.040775142,0.590892943,0.677564362,5.112092798,4.316859467,-0.47120484574099997,0.09666807254999993,0.18408963560000002
0.016587829,0.512093058,0.226495775,2.784906951,2.22371528,-0.49539215874099995,0.017868187550000025,-0.2669789514
0.64517279,0.174366429,0.690937738,5.349273214,4.145178721,0.1331928022590001,-0.31985844145000003,0.19746301160000002
0.386735346,0.936729989,0.137520944,4.156439051,3.676697987,-0.12524464174099997,0.44250511855,-0.3559537824
0.341066351,0.113473521,0.924693618,5.727899122,4.426564401,-0.17091363674099996,-0.38075134945,0.43121889160000004
0.877339353,0.257941628,0.659984046,5.982217012,4.560491685,0.36535936525900004,-0.23628324245000004,0.16650931960000004
0.8172222,0.555200812,0.529650578,5.836045246,4.931592973,0.30524221225900006,0.060975941550000023,0.03617585160000003
0.241852291,0.093102768,0.897215758,5.157341393,4.101192257,-0.27012769674099996,-0.40112210245,0.40374103159999997
0.900418057,0.633101457,0.339029791,5.497055588,4.234488365,0.38843806925900004,0.13887658654999996,-0.15444493539999998
0.349209575,0.725955679,0.89711026,7.388987017,5.912442057,-0.16277041274099996,0.23173080855,0.40363553360000004
0.887086424,0.779875546,0.642031646,7.379105344,5.932518534,0.3751064362590001,0.28565067554999996,0.14855691959999995
0.084139965,0.161628714,0.898554189,5.179995937,4.145278738,-0.42784002274099997,-0.33259615645,0.40507946259999994
0.60642906,0.009197052,0.101471543,1.786876581,1.209259855,0.09444907225900001,-0.48502781845000004,-0.3920031834
0.663501769,0.005061584,0.160808051,2.013581334,1.597921963,0.15152178125900007,-0.48916328645,-0.3326666754
0.548733789,0.691895198,0.65196126,6.53769124,5.099948273,0.036753801259000074,0.19767032754999997,0.15848653359999998
0.224269309,0.712179221,0.237249087,3.88828072,3.058126263,-0.287710678741,0.21795435054999995,-0.2562256394
0.325399698,0.746491405,0.649632899,6.115499033,4.995444022,-0.18658028974099994,0.25226653455,0.15615817259999998
0.84922341,0.657612892,0.568308603,6.50848082,5.232922335,0.33724342225900006,0.16338802154999993,0.07483387659999996
0.093674768,0.367715803,0.265202368,2.463398033,1.943009955,-0.41830521974099993,-0.12650906745,-0.2282723584
0.243989643,0.973010555,0.393097725,5.42392505,4.477295849,-0.2679903447409999,0.47878568455,-0.1003770014
0.892046555,0.631138626,0.794811304,7.70877125,6.120418497,0.380066567259,0.13691375555000002,0.3013365776
0.502637093,0.576903885,0.492517694,5.192355207,4.304739331,-0.009342894740999919,0.08267901454999999,-0.0009570324000000019
0.195242988,0.722452115,0.280772362,4.07413947,3.266504052,-0.31673699974099995,0.22822724454999993,-0.2127023644
0.024315966,0.645472296,0.177110679,2.837194495,2.468729703,-0.48766402174099993,0.15124742554999998,-0.3163640474
0.940458584,0.953928577,0.91486439,9.373485443,7.501621411,0.4284785962590001,0.45970370655,0.42138966359999996
0.3701587,0.015456617,0.928318563,5.326313629,4.441776418,-0.14182128774099995,-0.47876825345,0.43484383660000003
0.428184148,0.966654819,0.963619977,8.572077424,6.965618242,-0.08379583974099997,0.47242994855000003,0.4701452506
0.853009455,0.294448892,0.385097729,4.497418804,3.546235803,0.3410294672590001,-0.19977597845,-0.10837699740000001
0.851136672,0.316922005,0.169492747,3.523033884,2.974224479,0.33915668425900003,-0.17730286545,-0.3239819794
0.556801262,0.936154774,0.696029797,7.365263138,6.048611728,0.044821274259000066,0.44192990355,0.2025550706
0.57006117,0.097176494,0.615007227,4.493540695,3.615436338,0.05808118225900005,-0.39704837645,0.12153250059999998
0.99005385,0.140084015,0.518329652,5.074612725,3.780978981,0.47807386225900006,-0.35414085545,0.024854925600000022
0.877373072,0.740768618,0.697015741,7.418454278,5.827213355,0.3653930842590001,0.24654374755000003,0.20354101459999996
0.702484084,0.359491151,0.293591844,3.790743133,3.156092929,0.190504096259,-0.13473371945,-0.19988288240000002
0.809361155,0.810113395,0.867072319,8.559382478,6.722166614,0.2973811672590001,0.31588852455,0.37359759260000003
0.913240553,0.511342399,0.501516295,6.006235183,4.592869748,0.401260565259,0.017117528549999983,0.008041568599999938
0.798295179,0.649963931,0.701966877,6.927090267,5.644318374,0.28631519125900007,0.15573906055000003,0.20849215060000004
0.795792669,0.890005342,0.337995157,6.020547929,4.929545679,0.28381268125900005,0.39578047155,-0.15547956940000002
